Nome Oficial;Nome Fantasia
Ofício de Registro Civil Das Pessoas Naturais;
1º Tabelionato de Notas e Protesto;Cartório do 1º Ofício
2º Tabelionato de Notas e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais - 1º Distrito;
Ofício de Registro Civil Das Pessoas Naturais - 2º Distrito;Cartório do 2º Distrito
Ofício de Registro Civil Das Pessoas Naturais - 3º Distrito;Cartório do Registro Civil de Canaã
Ofício de Registro Civil e Tabelionato de Notas - 5º Distrito/Vila São Francisco;Cartório do Registro Civil
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Vila São José;Cartório de Vila São José
1º Tabelionato de Notas e Registro de Imóveis, Tit. e Doc. e Pess. Juridicas;Cartório Ribeiro
2º Tabelionato de Notas e Protesto;Notariado do 2º Ofício de Justiça
Ofício de Registro Civil Das Pessoas Naturais;
1º Tabelionato de Notas e Ofício de Registro de Imóveis;
2º Tabelionato de Notas e de Protesto de Títulos;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório Registro Civil
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Notas de Belém
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas, Protesto de Títulos e Anexos;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Notas de Branquinha 
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;Cartório Luiz Souto Neto
Ofício de Registro Civil Das Pessoas Naturais;Serviço Registral Civil
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Notas
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;Único Ofício Notarial e Registral de Campo Alegre
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório Ofícial de Registro Civil Maria Ferreira Neto
Ofício de Registro Civil Das Pessoas Naturais e Anexos;Cartório de Registro Civil e Notas
Ofício de Registro Civil Das Pessoas Naturais;Serviço Registral das Pessoas Naturais
1º Tabelionato de Notas e Ofício de Registro de Imóveis;
2º Tabelionato de Notas e Protesto;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Serviço de Registro Civil e Notas
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Serviço Registral e Notarial de Chã Preta
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil de Colônia Leopoldina
Tabelionato de Notas e Protesto de Titulos e Oficio de Registro de Imoveis, Tit. e Doc. e Pess. Juridicas;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais - 1º Distrito;Cartório de Registro Civil de Coruripe
Ofício de Registro Civil e Tabelionato de Notas - Pindorama;
Ofício de Registro Civil e Tabelionato de Notas - Poxim;Cartório do Registro Civil
1º Tabelionato de Notas e Protestos de Tit. e Rgistro de Imoveis Tit. e Documentos e Pessoas Juridicas;Cartório Jorge de Azevedo Castro
2º Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - 1º Distrito;Cartório de Serviço Registral e Notorial
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais - Folha Miúda;
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais
1º Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis e Anexos;
Ofício de Registro Civil Das Pessoas Naturais - Barragem Leste;
Ofício de Registro Civil Das Pessoas Naturais - Lagoinha;Cartório de Registro Civil
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil de Estrela de Alagoas
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Notas de Feira Grande
Ofício de Registro Civil Das Pessoas Naturais - Massapê;
Ofício de Registro Civil e Tabelionato de Notas;Cartório de Registro Civil de Pessoas Naturais de Feliz Deserto
Ofício de Registro Civil e Tabelionato de Notas;Cartório do Registro Civil
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Oficio de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais - Canafístula do Cipriano;Cartório do Registro Civil
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Notas Ibateguara
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;Cartório do Ofício Único
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil
Tabelionato de Notas e Ofício de Registros Públicos;Cartório Tabelião Benedito Almeida
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis, Tít. e Doc. e Pess. Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Inhapi;Cartório Registro Civil 
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Ofício de Registro de Imóveis e Títulos e Documentos;
Ofício de Registro Civil Das Pessoas Naturais;Cartório Registro Civil
Tabelionato de Notas, Protesto de Títulos e Anexos;
Ofício de Registro Civil Das Pessoas Naturais e Anexos;Cartório do Único Ofício de Japaratinga
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil Josefa Barbosa Cézar
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil de Joaquim Gomes
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Registro Civil das Pessoas Naturais de Junqueiro
Tabelionato de Notas, Protesto de Títulos e Registro de Imóveis, Tit. e Doc. e Civil de Pess. Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Serviço Notarial e Registral de Lagoa da Canoa
Tabelionato de Notas, Ofício de Registro de Imóveis e Anexos;
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil e Notas 
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis e Títulos e Documentos;
Ofício de Registro Civil Das Pessoas Naturais - 1º Distrito;
Ofício de Registro Civil Das Pessoas Naturais - 6º Distrito;Sexo Ofício de Registro Civil e Notas de Maceió
Ofício de Registro Civil Das Pessoas Naturais - 3º Distrito;Cartório de Bebedouro
2º Ofício de Registro Civil e Tabelionato de Notas 2º Distrito;Serviço Registral do 2º Distrito
Ofício de Registro Civil Das Pessoas Naturais - 4º Distrito de Floriano Peixoto;
Ofício de Registro Civil Das Pessoas Naturais - 5º Distrito;Cartório do Registro Civil do 5º Distrito de Maceió
Ofício de Registro Civil de Casamentos e Feitos Matrimoniais;Cartório do Registro Civil dos Casamentos e das Causas Matrimoniais
1º Tabelionato de Notas e Protesto;1º Serviço Notarial e Registral de Maceió
2º Tabelionato de Notas;
3º Tabelionato de Notas;
4º Tabelionato de Notas, Registro de Tit. e Documentos e Civil de Pessoas Jurídicas;
5º Tabelionato de Notas;
6º Tabelionato de Notas;Cartório Barbosa
1º Ofício de Registro de Imóveis e Hipotecas;1º Registro de Imóveis de Maceió
2º Ofício de Registro de Imóveis e Hipotecas;2º Cartório de Registro de Imóveis e Hipotecas de Maceió
3º Ofício de Registro de Imóveis e Distribuição;3º Registro de Imóveis e Distribuição de Protesto de Maceió
2º Ofício de Registro de Títulos e Documentos e Civil de Pess. Jurídicas;
2º Tabelionato de Protesto de Títulos;
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;Cartório do Único Ofício ´Edson Amaral´
Ofício de Registro Civil e Tabelionato de Notas - Capelinha;Cartório do Registro Civil e Notas
Oficio de Registro Civil Das Pessoas Naturais - São Marcos;
Ofício de Registro Civil Das Pessoas Naturais e de Interdições e Tutelas;Cartório de Registro Ciil
Ofício do Registro Civil e Tabelionato de Notas;
Ofício do Registro Civil e Tabelionato de Notas - Barra Grande;
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;Cartório Djalma Lindoso
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Notas de Maravilha
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil de Marechal Deodoro
Tabelionato de Notas, Protesto e Ofício de Registro de Imóveis, Títulos e Documentos;Cartório Registral e Notarial
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil de Maribondo
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Maria
Tabelionato de Notas, Protestos e Ofício de Registro de Imóveis;Cartório do Único Ofício 
Ofício do Registro Civil e Tabelionato de Notas;
Tabelionato de Notas e Protesto e Anexos;
Ofício de Registro Civil Das Pessoas Naturais;Cartório da Dona Mercês
Tabelionato de Notas, Protestos e Reg. de Imóveis;Cartório do Dr. Sérgio
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil de Minador do Negrão
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
Tabelionato de Notas e Ofício de Registro de Imóveis, Tít. e Documentos;Registro de Imóveis e Anexos
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
1º Tabelionato de Notas e Ofício de Registro de Imóveis;
2º Tabelionato de Notas e Protestos;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
Tabelionato de Notas, Protestos, Ofício de Registro de Imóveis e Anexos;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil Zélia de Lima
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis, Títulos e Documentos e Civil de Pessoas Jurídicas;
Ofício de Registro Civil e Tabelionato de Notas;Cartório de Registro Civil Guiomar Miranda Britto
Ofício de Registro Civil e Tabelionato de Notas;Cartório de Registro Civil
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;Cartório do Único Ofício de Olivença
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Notas Amorim carvalho
Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;Tabelionato Siqueira Nobre
Ofício de Registro Civil e Tabelionato de Notas;Serviço do Registro Civil e Notas de Palestina
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Serviço Registral das Pessoas Naturais 
2º Tabelionato de Notas e Protesto e Ofício de Registro Imóveis;Tabelionato Luiz Fernando de Barros
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Caldeirões de Cima;Cartório Registro Civil de Caldeirões de Cima
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Canafístula;Cartório de Canafístula
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil
Ofício de Registro Civil Das Pessoas Naturais - Ilha do Ferrro;
1º Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis;
2º Tabelionato de Notas e Protesto e Ofício de Registro de Títulos e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais - Limoeiro;Cartório de Registro de Pessoas Naturais de Vila Limoeiro
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
Ofício de Registro Civil e Tabelionato de Notas;Registro Civil de Passo de Camaragibe
Tabelionato de Notas, Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Serviço do Registro Civil e Notas de Paulo Jacinto/AL
Tabelionato de Notas, Protestos, Registro de Imóveis e Anexos;
Ofício de Registro Civil Das Pessoas Naturais;
3º Tabelionato de Notas;
1º Tabelionato de Notas, Protesto e Ofício de Registro de Imóveis;Cartório do Bonifácio
2º Tabelionato de Notas e Ofício de Registro de Tít. e Documentos e Pessoas Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil e Notas de Piaçabuçu/AL 
Tabelionato de Notas e Protestos e Registro de Imoveis , Tit. e Doc. e Pess. Juridicas;
Ofício de Registro Civil Das Pessoas Naturais  e Tabelionato de Notas;Cartório de Registro Civil
Ofício Único;
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil de Pindoba
Tabelionato de Notas e de Protesto de Títulos e Ofício de Reg. de Imóveis e Títulos e Documentos;
Ofício de Registro Civil Das Pessoas Naturais; Registro Civil de Pessoas Naturais
Tabelionato de Notas, Protesto e Ofício de Registro de Imóveis;Serviço Notarial e Registral da Comarca de Piranhas
Ofício de Registro Civil Das Pessoas Naturais - Entremontes;Cartório do Registro Civil da Vila de Entremontes
Ofício de Registro Civil Das Pessoas Naturais  e Tabelionato de Notas - Piau;Cartório de Registro Civil de Piau
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil da Penha
Tabelionato de Notas, Protesto e Ofício de Registro de Imóveis;Cartório do Único Ofício de Poços das Trincheiras
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Várzea  Dona Joana;Cartório do Registro Civil de Várzea Dona Joana
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais de Porto Calvo
1º Tabelionato de Notas e Registro de Imóveis, Tit. e Doc. e Pess. Juridicas;Cartório de Notas e Registros
2ª Tabelionato de Notas e Protesto;Tabelionato do 2º Ofício Notas e Protestos 
Oficio de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Serviço Notarial e Registral das Pessoas Naturais de Porto de Pedras
Oficio de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Tatuamunha;Cartório de Registro Civil e Notas
Tabelionato de Notas e Protest0S e Oficio do Registro de Imoveis Titulos e Documentos;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas, Protesto, Ofício de Registro de Imóveis, Tít. e Documentos;Cartório Dr. Edmundo Tojal Donato
Ofício de Registro Civil e Tabelionato de Notas;Cartório Rubens Correia Costa
Tabelionato de Notas e Protesto e Anexos;Cartório do Único Ofício
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil das Pessoas Naturais de Rio Largo
1º Tabelionato de Notas e Ofício de Registro de Imóveis;Cartório do 1º Ofício
2º Tabelionato de Notas e Protesto;Cartório do 2º Ofício
Ofício de Registro Civil Das Pessoas Naturais - Utinga;
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil de Roteiro
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas;
Ofício de Registro Civil Das Pessoas Naturais;Serviços de Registro Civil das Pessoas Naturais 
1º Tabelionato de Notas, Ofício de Registro de Imóveis, Tít. e Documentos e Pess. Jurídicas;
2º Tabelionato de Notas e Protesto;Cartório do 2º Ofício
Ofício de Registro Civil e Tabelionato de Notas;Serviços de Registro Civil  e Notarial
Ofício de Registro Civil Das Pessoas Naturais - Munguba;
Ofício de Registro Civil e Tabelionato de Notas;
Tabelionato de Notas e Protestos e Ofício do Registro de Imóveis , Tit. e Documentos e Civil de Pess. Jurídicas;
Ofício de Registro Civil Das Pessoas Naturais;
Tabelionato de Notas e Protesto, e Ofício de Imóveis Tit. e Documentos e Pess. Júridicas;
Ofício de Registro Civil Das Pessoas Naturais - Serra Grande;Cartório Usina Serra Grande
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil das Pessoas Naturais e Notas
Tabelionato de Notas, Protesto e Ofício de Registro de Imóveis;R.B.Muniz - Cartório
1º Tabelionato de Notas e Ofício de Registro de Imóveis;Cartório Iracema Monteiro de Oliveira
2º Tabelionato de Notas e Protesto;Cartório de Notas e Protesto
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil de São Luiz do Quitunde
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Ofício de Registro Civil 
1º Tabelionato de Notas e Ofício de Registro de Imóveis;
2º Tabelionato de Notas e Protesto, Registro de Tit. e Documentos e Civil de Pess. Jurídicas;
Oficio de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Serviço Notarial e Registral
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas - Porto Da Rua;Cartório de Registro Civil de Porto da Rua
Ofício de Registro Civil Das Pessoas Naturais;Serviço de Registro Civil e Notas
Tabelionato de Notas, Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais de Satuba
Tabelionato de Notas e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais;Cartório do Registro Civil das Pessoas Naturais
Tabelionato de Notas, Ofício de Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;Tabelionato de Notas Eraldo Alves
Tabelionato de Notas, Protesto e Ofício de Registro de Imóveis;Cartório do Único Ofício
Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil 
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Serviço Registro Civil e Notas
Tabelionato de Notas, Protesto e Ofício de Registro de Imóveis;
Ofício de Registro Civil Das Pessoas Naturais - Água de Meninos;Serviço Notarial e Registral das Pessoas Naturais
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório de Registro Civil das Pessoas Naturais e Notas
Ofício de Registro Civil Das Pessoas Naturais;Maria do Cartório
Tabelionato de Notas e Protesto, Ofício de Registro de Imóveis, Títulos e Documentos e Pessoas Jurídicas;S.N.R. Traipu
Ofício de Registro Civil Das Pessoas Naturais;Registro Civil de União dos Palmares
Ofício de Registro Civil Das Pessoas Naturais - Rocha Cavalcante;Registro Civil de Rocha Cavalcante
1º Tabelionato de Notas e Protestos de Titulos e Ofício do Registro de Imóveis;
2º Tabelionato de Notas e Registro de Títulos e Documentos;Cartório do 2º Ofício
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;
1º Tabelionato de Notas e Protesto de Títulos;Cartório Dr. José Cavalcanti Manso
2º Tabelionato de Notas e Protesto e Ofício de Registro de Imóveis, Tit. e Doc. e Pess. Jurídicas;Serviço Notarial e Registral de Viçosa
Ofício de Registro Civil e Tabelionato de Notas;Registro Civil
Ofício de Registro Civil Das Pessoas Naturais e Tabelionato de Notas;Cartório do Registro Civil de Campestre
Cartório do Judicial e Anexos;
Cartório Distrital de Registro Civil Das Pessoas Naturais;Cartório Distrital de Registro Civil de Amaturá
Ofício Único;Cartório Tamandaré
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;
Ofício Judicial e Anexos;Cartório Atalaia do Norte
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;Cartório Graça Gonçalves
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;Cartório da Comarca de Benjamin Constant
Ofício do Judicial e Anexos;Cartório Melo
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;Cartório da Comarca de Borba
Ofício de Registro Civil Das Pessoas Naturais - Dist. Axini;
Ofício Único;Cartório Judicial e Anexos da Comarca de Caapiranga
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;Cartório Costa
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;Cartório da Comarca do Careiro da Várzea
Ofício do Judicial de  Murumurutuba;
Ofício do Judicial - Paraná do Careiro;
Ofício Distrital do 20º Registro Civil de Terra Nova;
Ofício do Judicial de Paraná do Cambixe;
Ofício do Judicial de Autaz Mirim;
1º Ofício de Registro Civil Das Pessoas Naturais e Anexos;Cartório do 1º Ofício 
2º Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;Cartório Johnson
Ofício do Judicial e Anexos;Cartório Fernandes
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;Cartório Djacy
1º Ofício do  Judicial e Anexos;
2º Ofício do Judicial e Anexos;Cartório Elcy Gomes Pessoa
Ofício do Judicial e Anexos;Cartório do Judicial e Anexos da Comarca de Ipixuna
 1ª Ofício do Judicial e Anexos;
1º Ofício do  Judicial  e Anexos;
 2º Ofício do Judicial e Anexos;
3º Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;
Ofício do Judicial e Anexos;Cartório do Judicial e Anexos da Comarca de Juruá
Ofício do Judicial e Anexos;Cartório do Judicial e Extrajudicial de Jutaí
Ofício do Judicial e Anexos;Cartório do Judicial e Anexos da Comarca de Lábrea
Ofício do Judicial e Anexos - Paratari;Cartório João Jetro
Ofício do Judicial e Anexos;Cartório do Judicial e Anexos de Manacapuru
Ofício Único;Cartório do Judicial e Anexos
1º Ofício de Registro Civil Das Pessoas Naturais;Cartório do 1º Ofício de Registro Civil
2º Ofício de Registro Civil Das Pessoas Naturais;Cartório Miranda Sales
3º Ofício de Registro Civil Das Pessoas Naturais;3º Cartório de Registro Civil
4º Ofício de Registro Civil Das Pessoas Naturais;Cartório do 4º Ofício de Registro Civil de Pessoas Naturais de Manaus
5º Ofício de Registro Civil Das Pessoas Naturais;Cartório do 5º Ofício de Registro Civil de Pessoas Naturais
6º Ofício de Registro Civil Das Pessoas Naturais;Cartório de Registro Civil 6º Ofício
7º Ofício de Registro Civil Das Pessoas Naturais;Cartório Thomas
8º Ofício de Registro Civil Das Pessoas Naturais;8º Registro Civil das Pessoas Naturais
1º Tabelionato de Notas;Cartório Rabelo
2º Tabelionato de Notas - Matriz;Cartório Carlos Rocha
3º Tabelionato de Notas;
4º Tabelionato de Notas;Cartório Hélio
5º Tabelionato de Notas;Cartório ´Vital´
6º Tabelionato de Notas;Cartório Moreira
1º Ofício de Registro de Imóveis e Tabelionato de Protesto;Cartório do 1º Ofício de Registro de Imóveis
2º Ofício de Registro de Imóveis e Tabelionato de Protestos;
3º Ofício do Registro de Imóveis e Tabelionato de Protesto;
4º Ofício do Registro de Imóveis e Tabelionato de Protesto;
Ofício de Registro de Títulos e Documentos e Civil de Pessoas Jurídicas;Cartório  RTD Manaus
6º Tabelionato de Notas (Sucursal);
6º Ofício do Registro de Imóveis;6º Serviço Registral Imobiliário
9º Tabelionato de Notas;Cartório Abreu
5º Tabelionato de Protesto de Títulos;Cartório Costa
2º Tabelionato de Notas - Sucursal;
6º Tabelionato de Protesto de Títulos;6º Ofício de Protestos de Manaus
8º Tabelionato de Notas;Cartório Jung
7º Tabelionato de Notas;Cartório Fioretti
9º Ofício de Registro Civil Das Pessoas Naturais;9º Registro Civil das Pessoas Naturais
10º Ofício do Registro Civil Das Pessoas Naturais;
11º Ofício de Registro Civil Das Pessoas Naturais;Jonas Tamandaré
12º Ofício de Registro Civil Das Pessoas Naturais;12º Registro Civil das Pessoas Naturais
1º Ofício do Judicial e Anexos;Cartório do 1º Ofício da Comarca de Manicoré  
2º Ofício do Judicial e Anexos;Cartório do 2º Ofício
Ofício do Judicial e Anexos;
1º Ofício de Registro Civil Das Pessoas Naturais e Anexos;Cartório Andrade
2º Ofício de Registro Civil Das Pessoas Naturais e Anexos;
