
Logradouro;Bairro
Rua Jardim Botânico 674 Sala 203;Jardim Botânico
Rua Bela Cintra 967-  Cj 112B;CONSOLAÇÃO
Rua Santa Rita Durao, 86;Colônia Dona LuÍza
Rua Pitangui 77, Andar 3;Concórdia
Travessa Flor Do Mar, 02;Vila Celeste
Rua Ursula Ercole Cumin, 3245;Campo Magro
Rua Dr. Luiz Januario 406 Sala 201;Saquarema
Rua Major Quedinho, 111 Sala 307;Centro
"Srtvn Qd. 701 Conjunto C Ala  ""A"" Nº 124 Sala 704";Asa Norte
Avenida Real Grandeza  Nº 19 Vila De Furnas;Minaçu
Av .  Duque  De Caxias , N° 413;Centro
Scn Qd 1 Bl E Ed. Central Park Sala 1.504;Asa Norte
Avenida Angelica, 1757 - Cj 73;Santa Cecília
St Smdb Conj. 12 Bloco E Sala 201;Setor de Mansões Dom Bosco
Rua Henrique Silva S/N Qd 18 Lt 10 Setor Sul;Santo Antônio de Goiás
Rua Visconde De Pirajá, Nº 595 Sala 1305;Ipanema
Shc/Sw Clsw 303 Bl C  Sala 110 A 112 Pav. Sup.;Setor Sudoeste
St Scn Qd.  01 Bloco E Nº 50 Sala 1603;Asa Norte
Av. Engenheiro Luiz Carlos Berrini, 1748 - Sala 2203 / 2205;Cidade Monções
Srtvn Qd. 701 Conj. C Nº 124 Sala 401 Ala B ;Asa Norte
Rua Sebastião Miranda, 301;Cariré
Avenida Paulista, 37 - 5° Andar ;Bela Vista
Rua Jonas De Azevedo Campos, 07 Jardim Oasis;Cajazeiras
Av.Tancredo Neves Fazenda Sao Gothardo Sn;Parque Lago
Av. Brasília Qd. C Lt. 04 - Centro;São João D'Aliança
Rua Correio Do Rio, 149 / 103 ;Taquara
Rua Ides Edson De Resende, 35 A;Formiga
Shs Quadra 03, Bloco H, Sala Ix, Subsl. 01, Brasília Imperial Hotel;Asa Sul
Rodovia 13 De Maio, Km 10 - S/N  ;Pariquera-Açu
Rua Tereza Cristina, 2266, Sala 202;Centro
Alameda Lorena, 427 - Cj 45;Jardim Paulista
Clsw 101 Bl. C Ent 18 Loja 03 Subsolo;Setor Sudoeste
Q 04 Conj. M Casa 07;Setor Sul
Avenida Leomil, 421;Centro
Rua Dr. Faivre, 750 Cj 602;Centro
Rua Bandeirante Sebastião Marinho, 154;Jundiaí
Praça San Martin, 84 - Salas 701 E 702;Praia do Canto
Rua Dois De Julho, 92;Ipiranga
Shin Ca 02 Bloco F Sala 333 Lago Norte ;Setor de Habitações Individuais Norte
Rua Lourdes Vidal Alves, 244;Lagoa Redonda
R José Do Patrocínio 449  Sala 02;Erechim
Sre/ Área Especial Bloco D Nº 20 Sala 303 ;Cruzeiro Velho
Rua Frei Caneca, 325;Farol
Rua Pedro Firmino De Oliveira,210;Conjunto Túnel Ibirité
R Augusto Ackermann,  120  S/01;Nova Petrópolis
Rua Dr. Fernando Costa, 410;Vila Emílio
Rua Ribeiro De Brito, 1111, Sala Com. 105 Empresarial 1111;Boa Viagem
Alameda Leopoldo De Bulhões S/N Qd 52 Lt 9/10/11;Setor Pedro Ludovico
Rua Gaspar Barreto, 59;Vila Alpina
Shin Ca 05 Lote B-1 Bloco B-1 Sala 105;Setor de Habitações Individuais Norte
R. Silvandir F Chaves, 528-Gp8/Lot. Jd Aeroporto;Lauro de Freitas
Av Senador Ruy Carneiro 425 Sala 01;Miramar
Av Alberto Byington, 332 Apto 101-B;Vila Maria Alta
Quadra 04 Rua D Lotes 07/08 ;Sobradinho
Rua Frederico Simões, 153/Sl 1413 Ed. Orlando Gomes;Caminho das Árvores
Rua Floriano Peixoto, 107;Centro
Inacio De Moraes,257;Canela
Clsw 103 Bl B Ent 20 Kitstudio 111;Setor Sudoeste
Rua Uricutiua , S/N, Sitio St - Aracagy;Paço do Lumiar
Rua Salvador 120 Sala 1201 12 Andar ;Adrianópolis
Rua Congonhas, 558;Funcionários
Rua Fradique Coutinho, 1235 Sala 02;Pinheiros
Av Pinheiros 376 Retiro Das Pedras;Brumadinho
Rua D, Casa 291 - Conj Jardim Primavera;Passaré
Rod Admar Gonzaga, 5330;Lagoa da Conceição
Av. Desembargador Moreira, 1701 - Sala 807;Aldeota
Rua Gibaut, 154;Muritiba
Rua João Arruda Filho , N° 112;Sertânia
R Bertioga, 149 - 8° Andar Cj. 81;Chácara Inglesa
Rua Dr. José De Alencar;Centro
Rod. 438, 4400;Barra da Lagoa
Pç Presidente Aguirre Cerda, 17 Apt 504;Centro
Av. Cel Costa Araujo, 3187;Horto
Rua Alferes Julio Sametzi, 197;Asilo
Avenida Angelica,  501 - Cj 105;Santa Cecília
Av Professor Andrade Bezerra 1395 Salgadinho;Salgadinho
Rua Governador Jorge Lacerda, 44;Jardim Carvalho
R Marques Do Pombal 783 Conj 605;Moinhos de Vento
Rua Marquesa De Alorna, 11, Sala 401;São Lucas
Rodovia  Cel Adill Mendonça, 137 Apt - Fomento;Iguatu
Av. Jeronimo Vervloet;Antônio Honório
Rod Br 101 S/N Lt 02 Qd 08 Cid Satelite;Tanguá
Av. Lins De Vasconcelos, 755 Sala 02;Cambuci
Rua Rui Barbosa, 15/ 1° Andar;Simões Filho
Rua Almeida Cunha,N° 95, Santo Amaro;Santo Amaro
Avenida Manoel Da Costa Lima, 462;Vila Ipiranga
Av. Cassiano Ricardo, 1983 - Bloco B - Sala 1;Jardim Alvorada
Rua 94, 176  Conjunto Eduardo Gomes;São Cristóvão
R Funchal, 538 12 Andra Conjunto 124;Vila Olímpia
Rua Osvaldo Assunção Maffei, 176;Rancharia
Rua Congonhas, 18;Residencial Tiradentes
Av Montenegro 26 Sala 201;Auxiliadora
Av. Nossa Sra. Aparecida, 1677/Lj 01;NOSSA SENHORA DA VITÓRIA
Av Armando Lombardi, 205 Sl.206 E 208;BARRA DA TIJUCA
R. Jussara, 111;Bosque da Saúde
Qd11 Lt 8 Cia Sul;Simões Filho
Rua Cristóvão Nunes Pires, 110 Sala 1102;Centro
Rua Soares Caldeira 142 Sala 1111;Madureira
Rua 5 N°  15 Sala 01;Setor Central
Rua Dr.José Gonçalves Da Cunha, 11 Lj:A;São Brás do Suaçuí
Rua Jovina Santana, 183;Jabotiana
Sig Conjunto D Lote 03;Taguatinga Norte
Rua Silvimo Alves N° 20;Ipojuca
Rua José Freitas Júnior, 379-Galpao 09;Vila Esperança
Rua Prof. Paulo D'Assumpção, 281 Sob. 03;Jardim das Américas
Rua Manoel Pacheco Da Costa, 378;Ahú
Rua Traipu, 607;Pacaembu
R T36 N 3182 Sala 1504 Ed Aquarius Center;Setor Bueno
R Abdon Batista, 121, Sl 1108;Centro
Rua Alferes Angelo Sampaio, 1794;Batel
Rua Cid Rabelo Horta 105;Gameleira
Avenida Perimetral  1895;Jardim Primavera
Tv Manoel Victor, Nº 51 Ditrito Antonico;Quixelô
Rua Pará, N901 - Sala 10          ;Nossa Senhora das Graças
Shc/Norte Cl Quadra 215 Bloco B Nº 59 Sala 113;Asa Norte
Rua Padre Francisco Dias Da Fonseca, 79;Engenheiro Caldas
Rua Marquês De Sabará,17, Apto 203;Jardim Botânico
Av. Alberto Craveiro, 960 Loja 01;DIAS MACEDO
Rua Capitão Acácio Pereira, 04 Jardim Iguaçu;Jardim Iguaçu
Rua Hercilio Luz, 520;Centro
Rua Visconde De Sepetiba, Nº17 - Cons. França Pq;Flores
Rua Alvares De Azevedo, 128 Andar 2 Sla 201 Loteamento Pq Residencial Aruana - Compensa;Compensa
Av. Senador Virgílio Távora, 867 Sala 203;Meireles
R Monsenhor Ezequias Galvao, N°: 50;Jardim Padre Bento
Av. Iporanga, 1196 - Galpão 03 Anexo 01;Jardim Ibiti do Paço
Rua Guarda Mor Custódio 155 Sl 03;Centro
Alameda Tocantins, 75 - Sl 1401 ;Alphaville Industrial
Rua Aguas Virtuosas, 290;Parque Peruche
Rua Manaus, Nº31 - Coroado 3;Coroado
Rua Voluntários Da Pátria, 2820 - Cj 92;Santana
Pç Domicio José Das Graças;São Miguel do Aleixo
St Sht/Norte Trecho 01 Conj. 02 Bl. H Coffee Shop Subsolo Parte Resta;Asa Norte
Rua 9 N. 1349 Quadra E-10 Lote 06;Setor Oeste
Av Doutor Bernardino Brito Fonseca De Carvalho, 50 Apt 31 Torre 1;Vila Talarico
Rua Doze De Setembro, 1252-A - Galpaosala Fundos;Vila Guilherme
Rua Diana, 592 7ºandar Sala 71;Perdizes
Av. Barão De Studart Nº2360 Sl 1704;Joaquim Távora
Av. Nossa Senhora Da Penha, 250;Praia de Santa Helena
Rua Ibirapuera, 403;Jardim São Lourenço
Rua Bartolomeu De Medeiros , N° 104;Guadalupe
Av Rio Branco, 20 / Andar 16;Centro
Rua Espírito Santo, 1588;Centro
Rua Professsora Dolores Sn Qd 03 Lt 21 Sonho Dourado;Jussara
Rua Caio Viana Martins, 360;Flávio Marques Lisboa
Avenida  Alcindo Cacela, 104;Umarizal
Rua Teixeira De Freitas, 218 Apt 11;Campo Grande
Rua Coronel Fontenele De Castro;Plácido de Castro
Praca Prefeito Jose Carlos Martins, 10;Alvarenga
Av Nsª De Fátima 195;Jóquei
Rua São Paulo, 1000 Sala 01;Elói Mendes
Rua Pedro Ferreira 155 Sala 1213 ;Centro
Rua Xv De Novembro, 741;Pitanga
Rua Jose Quariguazil, 546 - Tamatanduba;Cascavel
R Joao Batista Da Cruz Jobim 11/310;Medianeira
Av.Paisagista Jose Silva De Azevedo,200/242 Bl.06;BARRA DA TIJUCA
R. Rouxinol, 233;Tiradentes
Tv Almirante Marques De Leao, 13 Ct Emp. Barra;Barra
Rua Coronel João Manguinhos , N° 623 , Sala 01;Bairro Novo
Av Das Americas, 3500 Sala 230 Bloc0 07 H0Ng K0Ng Cond.Le Monde Office;BARRA DA TIJUCA
Rua Coronel Passos Maia 595;Xanxerê
Scs Q. 08 Bl. B Nº 60 Loja 106 1  Pavimento Ed. Venancio 2000;Asa Sul
Rua Eurico Gaspar Dutra, 43 B;Centro
Rua Boquira, 484 Centro;Ibipitanga
Rua Irineu Correia, 192 Aptº 101;Irajá
Av. Sete De Setembro, 1971;Vitória
Rua Marechal Floriano Peixoto, 432;Miracema
R Pc Vb 3 N 222 Qd 09 Lt 46;Jardim Vista Bela
Avenida Visconde De Jequitinhonha, 209 - Sala 602;Boa Viagem
Rua C-143 S/N Qd 301 Lt 4 Casa 3;Jardim América
Avenida Manoel Ribas, 6052 Sala 02;Butiatuvinha
Av Walter Carneiro Machado N° 691 Qd C Lt 6 Centro;Santo Antônio de Goiás
Rua Alvaro Camargos Sobrinho, 371;Floramar
Rua Vidal Ramos, 140, Sl 1007;Centro
Rua Floriano Peixoto, 1072;Centro
Avenida São Paulo, 497;Parque Marilandia
Rua Alice Bumachar, 722 Sala 102 Pavimento 01;Jardim Camburí
St Sbs Qd. 02 Bloco E Sala 206 Sobreloja Parte 19;Asa Sul
Av. Americo Buaiz  501 Sl 114 Torre Norte;Enseada do Suá
Scs Quadra 06 Edificio Carioca Sala 506;Asa Sul
Av. Sen. Levindo Coelho, 918;Vale do Jatobá
Rua Dos Castanheiros, Nº 06, Quadra 6;Jardim Renascença
Av Sete De Setembro, 1971/Sl 105;Vitória
Rua Cel. Amazonas Marcondes, 1115 Ap.103 C1;Cabral
Av. Das Hortensias, 543 - Sala 08;Gramado
Av Comendador Mancor Daud, N°: 520 - Sala 06;Jardim Santa Luzia
Rua Magi Salomon, 190;Salgado Filho
Rua João Carlos De Souza, 112, Sl 01;Santa Mônica
Q. Scn Quadra 02 Bloco D Sala 912 A Parte B ;Asa Norte
St Scn Quadra 02 Bloco D S/N Sala 912 A ;Asa Norte
Av Moaci, 395 - Conjunto 125;Planalto Paulista
Av Nossa Senhora Da Consolata, 560;Centro
Alameda Madeira, 53 Cj 92;Alphaville Industrial
Rua Imperador, 22 - Quadra 18;Atalaia
Rua José Camelo Pinto ;Britânia
Av. Embaixador Abelardo Bueno, 3500/Sala215;BARRA DA TIJUCA
Av. Washington Soares, 4000 Loja 105;PARQUE MANIBURA
Rua João Pessoa, S/N. Orla Do Maçarico.;Salinópolis
Praça Marechal Deodoro Da Fonseca Nº 106 Sala 03 Galeria Santos Centro;Nossa Senhora das Dores
Av. Primeiro De Maio, 1386 - Bl B5 - Apto 1;Vila Virgínia
Avenida Visconde De Suassuna , N° 337 , Sala 101;Santo Amaro
Rua Benjamin Constant, 574-A - Novo Centro;Icó
Rua Franco Jatobá, 323;Prado
C 01 Lote 0112 Sala 227;Taguatinga Centro
Rua Getulio, 75 / 407 Bloco 2;Todos os Santos
Av. Senador Virgílio Távora, Nº 150 - Sala 204, Andar 2 - Ed. 150 Officers;Meireles
R 5 N 250 Q 10 L 6 Conjunto Riviera;Conjunto Riviera
St Sia Trecho 17 Rua 03 Lote 780 Parte A;Zona Industrial
Rua Cinco ,520 Bairro Jadete;Januária
Rua Qrsw 07 Bloco B -11 Nº 306 ;Setor Sudoeste
Travessa Francisco Berenguer, 38;Hipódromo
Rua Antonio De Barros, N°: 2391 - Sala 112;Vila Carrão
Rua Ituaçu, Casa 734,  Centro;Ituaçu
Rua Elias Mertel, 137 Apto 12B;Conjunto Habitacional Padre Manoel de Paiva
Rua Quinze De Agosto, Nº 1340 Casa 3 -Altos;Ponta Grossa (Icoaraci)
Av. José Alves Nendo, 1237 Sala 04;Jardim São Silvestre
Rua Marques De Montalvao Nº250;Engenheiro Luciano Cavalcante
Rua 03 Número 1062;Setor Marabá
Av. 01, Nº 352 - Loja 01 - Loteamento Arvoredo;Planalto Ayrton Senna
Rua Guanabara Nº 2359;São Cristóvão
Rua Expedicionario Oswaldo Saudina, 149, 2º Andar;Alfredo Chaves
Av. Rozendo Serapiao De Souza Filho, 595, Loja 06;Mata da Praia
Av. América, 82;Jardim América
Rua Ulhoa Cintra 95 Sl 902;Santa Efigênia
Avenida Guararapes , N° 2430 , 1° Andar;Centro
Av Graça Aranha, 19 Sala 802;Centro
Est Dos Bandeirantes, 8427 Bl2 504;Curicica
Av. José Cardoso Alcântara, Nº 220;Lagoa Seca
Alameda Mamore, 535 - Conj. 1411;Alphaville Industrial
Rua A, Nº115, Lote 1B, Portal Norte Center/Buraquinho;Lauro de Freitas
Rua Major Capile, 2228;Jardim Central
Av Senador Feijo, 686/1321;Vila Matias
Rua Maranhão, 45. Sala 102;Praia da Costa
Rua Boleslau Sochaczewski, 426 ;Afonso Pena
Av Presidente Castelo Branco, 571, Sala 01, Quilombo;Quilombo
Av. Francisco De Queiroz, N100;Colônia Santo Antônio
Av. Graca Aranha 19 Sl 403;Centro
Rua Barbacena, 330;Parque Santa Eugenia
Rua Veronica Mickosz Bodzinski, 175;Taboão
Rua Tiradentes, Ed. Tiradentes N 67 Sala 307;Reduto
Rua Desembargador Arno Hoeschel, 105, Apto 206;Centro
Rua Capitao Pedro Bruno De Lima, 177 B;Trindade
Saus Quadra 04 Bloco A Numero 30 Sala 336;Asa Sul
Rua Oriol, 254;Jardim Aeroporto
Rua Alfredo Mario Pizzoti, 94 - Sala 01;Vila Guilherme
Rua Dos Mundurucus, 2268;Batista Campos
Rua Senador Xavier Da Silva, 214;São Francisco
Rua Antonio Fagundes Santana, 150 Gal Monique Lj 09;Treze de Julho
Sas Quadra 05 Lote 04 Bloco K Sala 1116;Asa Sul
R  Guilherme Silva, N°: 810 ;Pontal
Rua Cubatão 862 - Conj 71;Vila Mariana
R. Melissa, 229;Carandá Bosque
Sítio Parque Jardim Ouro Verde, S/Nº, Anexo A - Parque Jardim Ouro Verde;Bom Jardim
Rua Prof Otaviano J Rodrigues, 458;Vila Santa Lina
Rua L 107;Acácias
Estrada Do Curralinho N  2475 Imbui Torees Center Sala 115;Boca do Rio
Avenida Maria Teresa, Nº260, Bloco 03, Sala 520;Campo Grande
Rua Doutor Gilberto Studart, 369 - Sala 04;Edson Queiroz
Av. Antonio De Gois, 60 Sala 1413 Andar 14;Pina
R Fonseca Guimaraes 166;Medianeira
R Ceara, N°: 269 - Conj H ;Alphaville Empresarial
St Setor Bancario Norte - Sbn Qd. 02 Lote 11 Ed. Gabriel O. E. Oliveira;Asa Norte
Q Qnd 56 Nº 39 Loja 02 ;Taguatinga Norte
Rua  Lauro Ferreira Pinto,677, Box 03, Centro;Alfredo Chaves
Rua Joao Pessoa;Centro
Avenida Sete De Setembro, 6235;Batel
Rua Padre Agostinho, 690;Mercês
R Santa Maria 104 Pavimento 2, Sl 2;Floresta
Rua São Marcos N. 49;Bom Jesus
Av. João Anastácio De Castro, Nº 1500 - Tapuio;Aquiraz
Rua Peixe Rei, 319;Bombinhas
Rua Capitão Franco Carvalho, N°409;São Francisco
Rua Cristóvão Colombo, 127/01;Viçosa
Q Qr 203 Conj. E N. 23 ;Santa Maria
Rua Santos Dumont,133;Paraisópolis
Conjunto Vitoria Regia Alameda 2 N 21;Marambaia
Rua Manoel Leopoldino, 360;Araés
Rua Conselheiro Mafra, 758 Sl 902 E 1002;Centro
Rua Josefa Pereira De Andrade Nº 137 Porto;Itabaiana
Rua Alcides Lourenço Rocha Nº20;Altamira
Rua Padre Machado, 455 - Conj 64;Bosque da Saúde
Rua São Caetano, 136;São Francisco
Est. Costa Gama N. 3540;Aberta dos Morros
Rua Eduardo Dantas Do Espírito Santo Nº 109-B;São Conrado
Rua Ricardo Quitete, 08;Parque Jóquei Club
Rua Ana Gonçalves, Nº 272;São João do Tauape
Rua Dona Anésia, 32;Jaraguá
Rua Doze De Setembro, 1252 - Sala B;Vila Guilherme
Rua Afonso Pena, 10;Centro
Rua Costa Pinto, 10/Lj 40 Shopping Riviera;Centro
R 1048 Sn Conf Jardim Botanico Qd:98 Lt 04 E 05 Setor Pedro Ludovico;Setor Pedro Ludovico
R Expedicionario Teodoro Francisco Ribeiro, N°: 1511;Chácara do Visconde
Av. Jose Anotnio Siqueira;Julião Ramos
Rua Pindaíba Nº 52 Centro;Rubiataba
Avenida Paulista, 807 - 23º Andar - Cj 2315;Bela Vista
Rua Jose Caberlon, 212;Gramado
Rua Professor Carvalho, Nº 3395;Joaquim Távora
Rua Maurice Ravel, Nº119 - Parque Shangrila 7;PARQUE 10 DE NOVEMBRO
Rua Escocia, 114, Bairro Nacoes;Timbó
R 05 172 Qd:03 Lt:02 Setor Sao Pedro ;Morrinhos
"Rua Marcos Antonio Santos, 556 - Sala ""B""";Novo Maranguape II
Rua Cel. Augusto De Paula, 853 Lj:1;Chácara
R A-1 S/N Qd:02 Casa 08 Parque Das Brisas;Caldas Novas
Av T 9 Sn Qd 252 Lt 19;Jardim América
Rodovia Br 367 N 6900 Lotes 1/2/3 Quadra H. Praia De Taperapuan;Porto Seguro
Rua João Kussarev Nº 2285;Jardim Veraneio
Rua José Soares Barreto, 1313 - San Vale                                      ;Candelária
Rua Itapicuru, N°: 613 - Sala 131                ;Perdizes
Rua Dos Pinguins;Vila Cloris
Rua Mossoró, 143;Centro
Rod Sc  303, Km 03;Joaçaba
Rua Rio De Janeiro, 1330 Loja 02;Centro
Rua Barao De Camargos 36, Letra A;Jardim Atlântico
Rua Simpatia, 192 Sala 32;Jardim das Bandeiras
Rua Dr. Maruri, 1204, Sl A;Concórdia
Rodovia Pe 15 -  Nº 5178;Fragoso
Tv. Padre Damião, N° 15 - Sala 807;Tijuca
Avenida Adhemar Pereira De Barros, 753;Jardim Santa Maria
Rua Doutor Isidoro Jose Ribeiro De Campos,19 - Apt 122;Ponta da Praia
Av. Catulo Da Paixao Cearense 325;Indústrias
Rua Campevas, 253 - Apto 62;Perdizes
Clsw 102 Bl. B Loja: 63 (Subsolo) - Ed. Phoenix ;Setor Sudoeste
Rua Saldanha Da Gama, 396 - Sala ''B'';Farol
Rua Portugal, 05/07- Sl 305 Ed. Status;Comércio
Pç Carlos Moura, 46;São Felipe
Rua  Professor Julio Mourao, Nº 110;Luxemburgo
Rua Icarai, 210;Brasília de Minas
St Shcgn 708 Bloco A N. 09 1º Pavimento, Parte B4;Asa Norte
R Doutor Costa Junior, N°: 216;Água Branca
Avenida Paulista, 491 - 8º Andar;Bela Vista
Rua Alexandre Buhnemann, 85;São Bento do Sul
Tv Dom Quintino, Nº 100 - Centro;Umari
Sre/S Qd. 03 Bloco H Casa 51/57;Cruzeiro Velho
Rua Bernardo De Vasconcelos, 306 C;Realengo
Rua Luiz Tramontin, 1345 Casa 37;Campo Comprido
Rua 17-A 899;Setor Aeroporto
"Rua Pedro Jose Senger; N° 1620";Vila Haro
R Amelio Jose Panizi, 378;Xaxim
Rua Emir Rosa, 593, Apt 103;Centro
Rua Afonso Batista,  50;Espinheiro
Rua Imperatriz 96;Módulo II
Rua Taperoa, Nº 147 Apt 102 ;Penha
Av. Arquiteto Nildo Ribeiro, 4465;Jardim Higienópolis
Rua Da Assembleia N 93 Apt 401;Centro
Rua Francisco Ramalho Sobrinho, Nº 318 - Centro;Baixio
Avenida Dr . Claudio Jose Gueiros Leite N° 4351 , Loja 12 Cxpst 118;Janga
Rua Ana Nery, 500;Rio Branco
1 Travessa Conjunto Buriti;Alvorada
Ralcides Lourenço Rocha;Altamira
R Doutor Armando Barbedo 322Conj 201;Tristeza
Rua Minas Gerais-226;DOM GIOCONDO
Rua Osvaldo Ferraz  608;Sagrada Família
Av Marinheiro Max Schramm, 2249                                       ;Jardim Atlântico
Shvp Rua 12 Chac 137/1 Lote 1;Taguatinga Norte
Rua Mariano Ribeiro, 35;Serrinha
"Av Mutirao, Numero 2189, Quadra: L-26; Lote: 12; Sala: 01; Setor Marista";Setor Marista
Rua Prefeito Latiffi Mussi Rocha, N° 298 Galpao;Visconde de Araújo
Rua Coronel Ferreira, 1135;Portinho
Rua Praia Do Cajueiro, 308;Alter do Chão
Av  Carlos Gomes,  141 Andar 12 Conj 1201;Auxiliadora
Rod. Br 265, Km11;Nepomuceno
Rua Frei Fabiano, Nº 56 ;Quissamã
"Rua Leandro Martins, N° 20 - Andar 7; Apt 701";Centro
Rua Estrela Sirius, Nº 08 B, Conjunto Morada Do Sol ;Aleixo
Avenida Rio Grande 2100;Rio Grande
Rua Roraima, N°: 15 - Letra A;Caconde
Rua Dr. Elizeu Holanda, 20 - Praia Do Futuro;Vicente Pinzon
Av Antão De Farias  841;Sapiranga
Rua Dom Francisco, 409;Vila Real
Av Brigadeiro Lima E Silva, 1939 Sala 208;Jardim Vinte e Cinco de Agosto
Br 262 Km 72 - Ribeirão Capixaba Aracê                      ;Domingos Martins
Rua Lauro Ferreira Pinto,SNº,Box 36;Alfredo Chaves
Cng 03 Lote 06/07 Sala 107;Taguatinga Norte
Avenida Rio Grande Do Sul, 957;Santa Helena
Rua C-175 Qd-430 Lt-04 Casa 03;Jardim América
Av. Arquiteto Vilanova, 227 Sl3;Conjunto Habitacional Teotonio Vilela
Qr 151, Conjunto 18, Lote 12;Samambaia Sul
Largo Do Cruzeiro De São Francisco, 4/6 -Centro Histórico;Pelourinho
Rua Job Lobo, Nº60;Santa Luzia
"Rua Irajuba, S/N° - Lote 0; Ltm 2355; Quadra 5";Campo Grande
Rua Jose Rosa, 330;Barra do Rio Cerro
Av. Dos Holandeses, Cons.Hilton, Nº 4, Quadra 27, Lote 04, Ipem Calhau;Calhau
Conjunto Cidade Nova Vi We 86 872;Coqueiro
Rua Sergipe, 401 - Sala 607;CONSOLAÇÃO
Rua Padre Joao Manuel, 923 - 6º And - Cj. 61/62;Cerqueira César
St Scn Qd. 02 Bloco A Nº 190 Sala 502 Parte O;Asa Norte
Rua Olacildo Ximenes Jalles, 1927;Capim Macio
Rua Trindade Tobago, 100, Sala 08;Jardim Califórnia
Rua Tobias Moscoso, 43;Tijuca
Rua Julio De Castilho, 785;Centro
Alameda Dos Arapanés, 419 - Apt 17;Indianópolis
Al Princesa Izabel Sn Quadra 6 Lote 9;Teresina de Goiás
Rua Jacuí, 125;Brás de Pina
Av. Calógeras, N° 12 - Apt 44 ;Centro
Rua Maria Victoria Bohrer, 220;Parque das Esmeraldas
Avenida 15 De Novembro 2103 Sala 03;Nova Petrópolis
Rodovia Jose Carlos Daux, 8600, Bl 01, Sl 04;Santo Antônio de Lisboa
Rua Vinte E Quatro De Maio, Nº 751 - Sala 18;Centro
Av Adhemar Pereira De Barros 871;Jardim Santa Maria
Rua Francisco Gonçalves, 02 / 402;Comércio
Av. Ápio Cardoso Nº 196;Caxambu
Rua Rui Barbosa N 194 Q 14 L 04 Sala 02 Fundos;Cristalina
Rua Olavo Sales, 215;Nepomuceno
R. 15 De Novembro, 2098;Jardim dos Estados
Qd. 706 Sul Alameda 02 Lt 36;Plano Diretor Sul
Rua Lydia Ferrari Magnoli, 108 - Sala 1007;Jardim Avelino
Rod Br 153 Qd 28 Km 10;Nossa Senhora de Lourdes
Rua Joao Tomaz Ferreira, Nº290 Sala 29;Beberibe
Rua Buritis Lote 05 Apt. 1001;Sul (Águas Claras)
Rua Salvador Correia De Sá, Nº 1600 - Térreo;José de Alencar
Rua Retiro Saudoso, 17;Farol
Rua Saldanha Marinho, 374, Sl 701;Centro
Rua Ponta Porã Nº 1325;Vila Palmira
Avenida Das Americas, N° 7907 Bloco 1 Sala 210 Barra Da Tijuca;BARRA DA TIJUCA
Rua Maruim, 977;Centro
Rua Lívio Barreto, Nº 865 - Centro;Granja
Rua Gonçalves Dias, 1922 - Sala 404;Lourdes
Rua Alzira Menezes Nogueira, 108 Sl 08;Santa Paula
Rua Camerindo Nº 227 Sala 04 Centro;Estância
St Sia Trecho 3/4 Lotes 625/695 Bloco A Sala 317;Zona Industrial
Rua Agostinho Bacha, 487;Núcleo Habitacional Universitárias
Av. Glaycon De Paiva, 1240 Sala 5;Mecejana
Rua Italiano Julio Filizola, 528 Loja 17 - Centro;São Benedito
Rua Presidente Dutra, 3999;Chopinzinho
"Av. Ernani Do Amaral Peixoto, N° 334 - Sala 513; Parte 1";Centro
Rua Marcelino Simas, 580;Estreito
Av. Antonio Sales, 2371 - Loja 106;Dionisio Torres
Qnn 25 Conjunto B Lote 4 Loja 3;Ceilândia Norte
Rua Padre Angelo Peçanha 130 Bl 01 Lj 13;Parque Turf Club
Rua Marechal Deodoro;Concórdia
Rua 18, Nº 03;Vila Embratel
Rod. Rj 124, S/Nº - Km 36 Lt 01 Qd D;Araruama
Rua Cel. Antônio Luciano Pereira,129;Industrial
Avn Treze De Maio, 23 Sala 1935 A 1937 (Parte) ;Centro
Travessa João Missiagia 193 Sala 01;Garibaldi
Travessa Da Lapa, 96 Conj. 74;Centro
Rua Doutor Penteado De Almeida, 700;Centro
Av Universitaria , 562;Ininga
R Genoval Alves Sampaio;Campos Novos
Av. João Pessoa 19/401;Canela
"Rua Alexandre Dumas, 268 - Andar 8; Sala 86";Chácara Santo Antônio (Zona Sul)
Avenida Rio Branco, 195 ;Centro
Rua Sao Paulo, 723;Pacoval
Travessa L Dezesseis 31;Santana
Av. Nossa Senhora De Copacabana, N° 749 - Sala 908;Copacabana
Rua Campos Nº 883;São José
Rua Antonio Freire N° 55;Centro
Avenida Olegario Maciel 511 Sala 302;BARRA DA TIJUCA
Av. Rio Branco, 1765;Praia do Canto
Av. Tanc. Neves. 274, Cei, Bl  A, Sl 718;Caminho das Árvores
Avenida Desembargador Vitor Lima, 260, Sl 908;Trindade
Rua 2 De Setembro, 2144;Itoupava Norte
Rua Costantino Gomes Nº 250;Atalaia
Rua Laranjeiras Nº 830;Centro
Al. Benevento, 20/Sl 203 Ed. Jd Pituba Center;Pituba
Rua Silva Ortiz, 138;Floresta
Rua Paineira , S/N°, Galpão 03;Sooretama
Cnb 3 Lote 5/6 Ed Avenida Sala 309;Taguatinga Norte
Avenida Bartolomeu Mitre, 438 Apto 701;Leblon
Av. Tancredo Neves, 274/Lj 603 Cei;Caminho das Árvores
Rua Professora Sinha Bezerra, Nº 161 - Centro;Santa Quitéria
